#time =  3.6000071E+02
#  y    y+    Umean    Tmean
  0.000000000E+00  0.000000000E+00  0.000000000E+00              NaN
  8.132169850E-04  1.449539823E-01  1.452921823E-01              NaN
  1.665921199E-03  2.969464687E-01  2.975035624E-01              NaN
  2.559993823E-03  4.563127753E-01  4.569511236E-01              NaN
  3.497402035E-03  6.234035466E-01  6.239604958E-01              NaN
  4.480202568E-03  7.985853907E-01  7.988636347E-01              NaN
  5.510545394E-03  9.822415348E-01  9.819943272E-01              NaN
  6.590677506E-03  1.174772500E+00  1.173684208E+00              NaN
  7.722946815E-03  1.376596796E+00  1.374267409E+00              NaN
  8.909806151E-03  1.588151634E+00  1.584071875E+00              NaN
  1.015381737E-02  1.809893657E+00  1.803405441E+00              NaN
  1.145765555E-02  2.042299695E+00  2.032563986E+00              NaN
  1.282411332E-02  2.285867524E+00  2.271810062E+00              NaN
  1.425610523E-02  2.541116655E+00  2.521363095E+00              NaN
  1.575667222E-02  2.808589131E+00  2.781386171E+00              NaN
  1.732898620E-02  3.088850339E+00  3.051975567E+00              NaN
  1.897635469E-02  3.382489830E+00  3.333150213E+00              NaN
  2.070222542E-02  3.690122161E+00  3.624837811E+00              NaN
  2.251019117E-02  4.012387730E+00  3.926845490E+00              NaN
  2.440399441E-02  4.349953628E+00  4.238855648E+00              NaN
  2.638753217E-02  4.703514489E+00  4.560429099E+00              NaN
  2.846486076E-02  5.073793340E+00  4.890974219E+00              NaN
  3.064020051E-02  5.461542447E+00  5.229741176E+00              NaN
  3.291794050E-02  5.867544152E+00  5.575833576E+00              NaN
  3.530264319E-02  6.292611703E+00  5.928223767E+00              NaN
  3.779904894E-02  6.737590056E+00  6.285731239E+00              NaN
  4.041208042E-02  7.203356667E+00  6.647076539E+00              NaN
  4.314684685E-02  7.690822240E+00  7.010870326E+00              NaN
  4.600864803E-02  8.200931456E+00  7.375661727E+00              NaN
  4.900297817E-02  8.734663641E+00  7.739969714E+00              NaN
  5.213552935E-02  9.293033394E+00  8.102313326E+00              NaN
  5.541219470E-02  9.877091155E+00  8.461241800E+00              NaN
  5.883907120E-02  1.048792369E+01  8.815366300E+00              NaN
  6.242246199E-02  1.112665453E+01  9.163400951E+00              NaN
  6.616887817E-02  1.179444425E+01  9.504192903E+00              NaN
  7.008504005E-02  1.249249074E+01  9.836711210E+00              NaN
  7.417787771E-02  1.322202926E+01  1.016009874E+01              NaN
  7.845453086E-02  1.398433246E+01  1.047365498E+01              NaN
  8.292234787E-02  1.478071015E+01  1.077683720E+01              NaN
  8.758888390E-02  1.561250904E+01  1.106925723E+01              NaN
  9.246189801E-02  1.648111215E+01  1.135067311E+01              NaN
  9.754934928E-02  1.738793816E+01  1.162097227E+01              NaN
  1.028593916E-01  1.833444050E+01  1.188015085E+01              NaN
  1.084003671E-01  1.932210614E+01  1.212830409E+01              NaN
  1.141807987E-01  2.035245424E+01  1.236560690E+01              NaN
  1.202093803E-01  2.142703449E+01  1.259230190E+01              NaN
  1.264949659E-01  2.254742508E+01  1.280868410E+01              NaN
  1.330465568E-01  2.371523050E+01  1.301509215E+01              NaN
  1.398732873E-01  2.493207887E+01  1.321189972E+01              NaN
  1.469844074E-01  2.619961901E+01  1.339950935E+01              NaN
  1.543892645E-01  2.751951709E+01  1.357835280E+01              NaN
  1.620972825E-01  2.889345286E+01  1.374889412E+01              NaN
  1.701179381E-01  3.032311554E+01  1.391161576E+01              NaN
  1.784607353E-01  3.181019918E+01  1.406703787E+01              NaN
  1.871351772E-01  3.335639769E+01  1.421571096E+01              NaN
  1.961507347E-01  3.496339925E+01  1.435820077E+01              NaN
  2.055168134E-01  3.663288038E+01  1.449507520E+01              NaN
  2.152427171E-01  3.836649944E+01  1.462689423E+01              NaN
  2.253376085E-01  4.016588969E+01  1.475420320E+01              NaN
  2.358104677E-01  4.203265178E+01  1.487755332E+01              NaN
  2.466700473E-01  4.396834587E+01  1.499742733E+01              NaN
  2.579248252E-01  4.597448312E+01  1.511427052E+01              NaN
  2.695829546E-01  4.805251679E+01  1.522849692E+01              NaN
  2.816522112E-01  5.020383292E+01  1.534048411E+01              NaN
  2.941399389E-01  5.242974050E+01  1.545057193E+01              NaN
  3.070529917E-01  5.473146129E+01  1.555906215E+01              NaN
  3.203976758E-01  5.711011931E+01  1.566621434E+01              NaN
  3.341796879E-01  5.956672999E+01  1.577227381E+01              NaN
